step,households,treasury,gini_assets,gini_income,poverty_rate,means_tested_poverty_rate,unemployment_rate,labor_participation,avg_wage,avg_assets,ubi_spending,targeted_spending,false_positive_spending,false_negative_amount,false_negative_count,inherited_assets_received,debt_writeoff_spending,tax_revenue,deficit,single_young,couple_with_children,elderly,disabled
0,220,500000.0,0.29960339148035775,0.0,1.0,0.8363636363636363,1.0,0.8936170212765957,0.0,6349.359962838694,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,84,63,47,26
1,219,502595.8726445958,0.28566625629891695,0.47689080317782273,0.4337899543378995,0.2831050228310502,0.23333333333333334,0.8898305084745762,1533.9497709315644,6402.750531686818,28300.0,18990.0,120.0,540.0,5,0.0,0.0,49885.87264459576,-2595.872644595758,82,64,46,27
2,218,544463.0100472711,0.27968828498076936,0.5111589982778586,0.4954128440366973,0.3577981651376147,0.3051643192488263,0.8875,1608.8582663719712,6440.306464607467,28300.0,20460.0,240.0,480.0,5,0.0,0.0,90627.13740267557,-41867.137402675566,80,65,45,28
3,217,579191.305291722,0.27256361706698695,0.49305396316758987,0.46543778801843316,0.35023041474654376,0.31627906976744186,0.8884297520661157,1447.6514898356636,6454.43391808422,28600.0,21810.0,360.0,1290.0,10,0.0,0.0,85138.29524445103,-34728.29524445103,79,66,44,28
4,217,609601.9384018427,0.267954778743531,0.5082509227172605,0.5069124423963134,0.4009216589861751,0.37327188940092165,0.889344262295082,1445.3586332679818,6414.498109682487,28700.0,23130.0,330.0,1230.0,8,0.0,0.0,82240.63311012022,-30410.633110120223,77,68,44,28
5,217,696669.2264887899,0.26270574911338973,0.48193761064081064,0.3824884792626728,0.2764976958525346,0.1085972850678733,0.8911290322580645,1854.0562181118928,6543.327212218421,28900.0,15780.0,390.0,810.0,8,0.0,0.0,131747.2880869463,-87067.2880869463,74,71,44,28
6,216,752439.3338870247,0.26274862268435406,0.5038587219779023,0.46296296296296297,0.36574074074074076,0.2577777777777778,0.8928571428571429,1639.9091777273102,6600.152865317716,29300.0,18300.0,30.0,1980.0,13,0.0,0.0,103370.10739823517,-55770.107398235166,71,74,43,28
7,216,836292.7673119637,0.25999216703616557,0.477311123778283,0.39814814814814814,0.3055555555555556,0.17256637168141592,0.889763779527559,1791.96927193818,6701.728610343178,29600.0,18540.0,270.0,690.0,8,0.0,0.0,131993.43342493832,-83853.43342493832,68,76,43,29
8,217,903501.912231052,0.26018240113201063,0.48897039256491825,0.42857142857142855,0.35944700460829493,0.19911504424778761,0.8932806324110671,1716.4948092691131,6730.366627575375,29800.0,19890.0,240.0,540.0,4,0.0,0.0,116899.14491908839,-67209.14491908839,69,76,43,29
9,216,970460.6835510143,0.26389485617306807,0.4758923767734431,0.4027777777777778,0.33796296296296297,0.20175438596491227,0.8941176470588236,1689.1323976415174,6829.488530572975,29800.0,19470.0,60.0,630.0,2,0.0,0.0,116228.77131996282,-66958.77131996282,67,78,42,29
10,217,1051149.3902991158,0.26416946782206874,0.47993311288824536,0.3778801843317972,0.3087557603686636,0.15021459227467812,0.8961538461538462,1808.2293539669226,6936.249441117867,29900.0,18450.0,630.0,540.0,5,0.0,0.0,129038.70674810116,-80688.70674810116,67,79,42,29
11,218,1108825.6348022285,0.26800341935463323,0.48834953512993096,0.44954128440366975,0.41284403669724773,0.28270042194092826,0.8943396226415095,1670.9158829930548,6931.081756175425,30400.0,20130.0,0.0,1830.0,11,0.0,0.0,108206.24450311332,-57676.244503113325,62,84,42,30
12,215,1195696.9015741812,0.2729060627358959,0.47205483687489025,0.386046511627907,0.3488372093023256,0.13692946058091288,0.895910780669145,1949.1656939832496,7148.715765726232,30900.0,17070.0,90.0,1290.0,10,0.0,0.0,134841.26677195297,-86871.26677195297,59,87,39,30
13,215,1255416.752942255,0.2726273928306533,0.4786591831529743,0.4046511627906977,0.39069767441860465,0.23045267489711935,0.8933823529411765,1695.4579941133907,7197.249889253128,31000.0,21390.0,300.0,1260.0,7,0.0,0.0,112109.85136807401,-59719.851368074014,58,87,39,31
14,215,1318589.01619244,0.2731742665799166,0.4976531959780175,0.4372093023255814,0.4046511627906977,0.2757201646090535,0.8868613138686131,1787.3655713974483,7240.260911902988,31300.0,20640.0,90.0,1350.0,7,0.0,0.0,115112.26325018532,-63172.26325018532,56,89,39,31
15,215,1364204.1197538178,0.27235006639884185,0.5052885498112403,0.4697674418604651,0.40930232558139534,0.29918032786885246,0.8872727272727273,1664.19070176277,7243.363359640677,31500.0,23790.0,630.0,1020.0,7,0.0,0.0,100905.1035613758,-45615.1035613758,55,90,39,31
16,214,1409461.2161316187,0.2754082232895241,0.5016492111014068,0.4719626168224299,0.45794392523364486,0.3346938775510204,0.8876811594202898,1665.1825445531485,7273.809117515982,31600.0,24630.0,450.0,780.0,5,0.0,0.0,101487.09637780082,-45257.096377800815,55,91,37,31
17,213,1439527.1626018,0.2775756617091969,0.482154421006165,0.48826291079812206,0.4460093896713615,0.37349397590361444,0.8892857142857142,1406.3034816775921,7247.312344876737,31500.0,24870.0,180.0,3000.0,15,0.0,0.0,86435.94647018219,-30065.946470182185,53,93,36,31
18,212,1462387.78788684,0.27903020716198723,0.5024832962482317,0.5047169811320755,0.4811320754716981,0.41832669322709165,0.8900709219858156,1541.8649683800074,7220.334851181468,31800.0,26610.0,60.0,1020.0,7,0.0,0.0,81270.62528504034,-22860.62528504034,52,94,35,31
19,212,1548551.4294065281,0.2810545616261395,0.47537840966215517,0.37735849056603776,0.3915094339622642,0.17254901960784313,0.8916083916083916,1899.9997978228905,7328.410265802696,31900.0,20280.0,930.0,1290.0,9,0.0,0.0,138343.64151968723,-86163.64151968723,51,96,34,31
20,213,1592919.0528509133,0.28216657352053387,0.4749536109248442,0.4225352112676056,0.45539906103286387,0.31640625,0.8888888888888888,1520.0579876209888,7282.752291802122,32200.0,25800.0,270.0,690.0,6,0.0,0.0,102367.62344438516,-44367.62344438516,51,97,34,31
21,213,1653781.0965631239,0.28285072008311674,0.4694984159181601,0.38967136150234744,0.39906103286384975,0.2548262548262548,0.8900343642611683,1713.0770448099104,7335.4343409181265,32400.0,22530.0,180.0,840.0,5,0.0,0.0,115792.04371221011,-60862.043712210114,50,98,34,31
22,214,1728803.7454910756,0.28389472353977574,0.48358081962785837,0.3878504672897196,0.40654205607476634,0.20833333333333334,0.8918918918918919,1875.4640681568976,7433.211267350691,32700.0,22620.0,600.0,810.0,6,0.0,0.0,130342.64892795106,-75022.64892795106,49,99,35,31
23,211,1770131.3270495324,0.28331562682310385,0.4889537397293944,0.43601895734597157,0.45023696682464454,0.3308270676691729,0.8896321070234113,1658.2624006680558,7552.545781745977,33300.0,24900.0,360.0,1260.0,8,0.0,4463.779099278332,103991.36065773453,-41327.5815584562,46,102,32,31
24,211,1833257.8215794186,0.28514874630476994,0.4921366410131012,0.4265402843601896,0.44075829383886256,0.3062730627306273,0.8973509933774835,1859.9618588014432,7599.708843585783,33300.0,23130.0,180.0,930.0,7,0.0,0.0,119556.49452988541,-63126.494529885415,44,104,32,31
25,211,1903051.5711284922,0.28756578790722376,0.4890873088271406,0.38388625592417064,0.41232227488151657,0.23247232472324722,0.8973509933774835,1899.3079609943047,7687.736771941526,33800.0,22500.0,540.0,1170.0,8,0.0,0.0,126093.74954907327,-69793.74954907327,44,104,32,31
26,211,1957200.0808458838,0.2891726589215773,0.49585657263807015,0.4218009478672986,0.4265402843601896,0.31851851851851853,0.8940397350993378,1726.0874685565416,7710.103691876623,33800.0,25380.0,60.0,900.0,6,0.0,0.0,113328.50971739208,-54148.50971739208,44,104,32,31
27,211,1998530.0685291477,0.2914226228627743,0.5011854251077519,0.46445497630331756,0.46919431279620855,0.34686346863468637,0.8943894389438944,1694.8499710871538,7779.395152731064,33800.0,25350.0,420.0,1590.0,8,0.0,4986.358938005376,105466.3466212687,-41329.98768326333,43,105,32,31
28,210,2061622.095224745,0.29765600894003397,0.4869537537273174,0.40476190476190477,0.4095238095238095,0.27697841726618705,0.8996763754045307,1859.53327551229,7942.736528380153,33900.0,22770.0,180.0,1200.0,11,0.0,1715.47799269576,121477.50468829146,-63092.026695595705,41,108,30,31
29,211,2136067.05189022,0.3046525830237119,0.4949618304566925,0.41232227488151657,0.41706161137440756,0.2753623188405797,0.8932038834951457,1963.8044056336385,7986.161576975329,34400.0,22950.0,180.0,930.0,6,0.0,0.0,131794.95666547684,-74444.95666547684,41,108,30,32
30,210,2195172.4328579833,0.3087471130280366,0.4784110652235909,0.41904761904761906,0.4142857142857143,0.302491103202847,0.8949044585987261,1823.8646178351974,8117.735166343821,34400.0,22980.0,30.0,1470.0,8,0.0,9696.190203100927,126181.57117086471,-59105.38096776379,39,111,28,32
31,209,2249946.326354914,0.31576510764593424,0.48649451480882666,0.4258373205741627,0.4258373205741627,0.3416370106761566,0.8920634920634921,1732.2990110369813,8173.190868194968,34700.0,25020.0,630.0,1620.0,8,0.0,1315.7217046820278,115809.61520161333,-54773.8934969313,38,111,27,33
32,209,2311117.872875325,0.3237266873225497,0.48792656776248133,0.4258373205741627,0.4449760765550239,0.3120567375886525,0.8924050632911392,1876.5842185206252,8216.630755731412,34700.0,24090.0,150.0,1230.0,8,0.0,0.0,119961.54652041213,-61171.54652041213,36,112,27,34
33,209,2393394.0884513436,0.3316977285775369,0.4563457243334499,0.3397129186602871,0.36363636363636365,0.20212765957446807,0.8924050632911392,1890.1420306641053,8318.367042899066,34900.0,22020.0,390.0,1590.0,8,0.0,0.0,139196.2155760175,-82276.21557601751,36,112,27,34
34,210,2478597.9960717494,0.3384516554755028,0.4661804989954832,0.34285714285714286,0.37142857142857144,0.22614840989399293,0.8871473354231975,1947.9305483953062,8399.634608419196,34900.0,22800.0,570.0,1140.0,7,0.0,0.0,142903.9076204066,-85203.9076204066,36,112,27,35
35,210,2532177.251749518,0.3427206741715665,0.4890693601368803,0.41904761904761906,0.4380952380952381,0.31338028169014087,0.8875,1850.1697774716617,8483.557319484982,35200.0,24330.0,120.0,1140.0,6,0.0,10000.0,123109.25567776874,-53579.25567776874,36,113,26,35
36,211,2600941.2779352563,0.34995136175992547,0.4771724227140943,0.3791469194312796,0.4028436018957346,0.3044982698961938,0.8892307692307693,1820.800992211354,8548.225941559807,35200.0,23580.0,180.0,1650.0,9,0.0,0.0,127544.0261857418,-68764.0261857418,36,113,27,35
37,214,2712384.28141776,0.357163814076221,0.4746664416883808,0.35046728971962615,0.34579439252336447,0.14625850340136054,0.8909090909090909,2192.757572555833,8655.39100196664,35800.0,19890.0,480.0,900.0,5,0.0,0.0,167133.0034825024,-111443.00348250239,38,114,27,35
38,214,2840684.68331185,0.36411274117518455,0.46554849927289266,0.32242990654205606,0.32242990654205606,0.07457627118644068,0.8858858858858859,2345.5459333069,9014.202195812337,36300.0,18150.0,870.0,1020.0,8,0.0,2842.8524614306516,185593.25435551838,-128300.40189408773,37,115,26,36
39,216,2956032.1572765736,0.3711083433655784,0.47597729479708284,0.3333333333333333,0.32407407407407407,0.1292517006802721,0.8828828828828829,2186.421046535915,9126.65288529914,36500.0,19230.0,210.0,1410.0,9,0.0,0.0,171077.47396472507,-115347.47396472507,39,115,26,36
40,216,3035946.2806494953,0.3791386992388541,0.5106657377986894,0.4027777777777778,0.42592592592592593,0.2687074829931973,0.8802395209580839,1978.7800413686257,9215.435654203946,36500.0,23010.0,360.0,1230.0,8,0.0,0.0,139424.12337292155,-79914.12337292155,39,115,26,36
41,215,3097688.3508033315,0.38349102341615593,0.48625944597626636,0.40930232558139534,0.3953488372093023,0.27364864864864863,0.8809523809523809,1949.9218579880892,9373.060768205863,36700.0,22590.0,180.0,1110.0,8,0.0,10000.0,131032.07015383671,-61742.070153836714,37,117,25,36
42,216,3196457.7117643757,0.38958993386572693,0.4578273680034237,0.3148148148148148,0.3194444444444444,0.16333333333333333,0.8823529411764706,2036.1362127442694,9524.350490887715,36800.0,21540.0,720.0,720.0,5,0.0,0.0,157109.3609610421,-98769.36096104211,37,118,25,36
43,217,3325114.8383160126,0.3956801025917889,0.4742339040817294,0.3271889400921659,0.3317972350230415,0.11513157894736842,0.8837209302325582,2365.0745828492863,9781.309249970234,37200.0,19980.0,1110.0,300.0,3,0.0,0.0,185837.12655163946,-128657.12655163946,36,120,25,36
44,217,3442947.8912102315,0.40039862803285375,0.4791194922938491,0.3456221198156682,0.3317972350230415,0.1437908496732026,0.8869565217391304,2377.4599278264623,10073.080442093396,37600.0,20280.0,900.0,900.0,7,0.0,10000.0,185713.05289421996,-117833.05289421996,37,120,24,36
45,218,3556517.222491604,0.40698940535932215,0.47195053935673403,0.3623853211009174,0.3532110091743119,0.14563106796116504,0.8879310344827587,2237.800378115557,10213.332733882047,37700.0,19290.0,660.0,1260.0,7,0.0,0.0,170559.3312813755,-113569.33128137549,38,120,24,36
46,218,3696961.8997304807,0.412487574210751,0.4396628413022776,0.2889908256880734,0.2798165137614679,0.04838709677419355,0.8857142857142857,2306.1091498866863,10481.45368632459,38000.0,17400.0,210.0,600.0,5,0.0,0.0,195844.67723887513,-140444.67723887513,37,121,24,36
47,217,3808443.6754655256,0.41738761368768196,0.47333897225063915,0.3317972350230415,0.3271889400921659,0.1762820512820513,0.8863636363636364,2239.776777425666,10755.061176439107,38200.0,19920.0,270.0,1260.0,7,0.0,4707.003180318981,174308.77891536074,-111481.77573504177,36,122,23,36
48,219,3932843.9293780634,0.42284919044870617,0.4597499829354599,0.3150684931506849,0.319634703196347,0.15555555555555556,0.8873239436619719,2220.199844507974,10880.9029165688,38300.0,18930.0,90.0,1440.0,6,0.0,0.0,181630.25391253535,-124400.25391253535,38,122,23,36
49,220,4057727.009302314,0.4281954591073258,0.47336809379277356,0.32272727272727275,0.35909090909090907,0.167192429022082,0.8879551820728291,2296.994604625904,11099.92848855941,38600.0,18660.0,720.0,1050.0,7,0.0,3793.1206639960456,185936.20058824503,-124883.07992424899,38,124,22,36
50,220,4177974.2341843196,0.4321221907134434,0.4429191871895617,0.2909090909090909,0.33181818181818185,0.125,0.8864265927977839,2162.725599490206,11348.329330570441,38700.0,18450.0,780.0,1140.0,8,0.0,3794.8088682473535,181192.0337502531,-120247.22488200574,39,124,21,36
51,220,4252428.3012861805,0.43398771539398373,0.4493555282080339,0.32272727272727275,0.33636363636363636,0.23125,0.8815426997245179,1913.3623838104518,11528.666740297856,39000.0,21630.0,300.0,750.0,4,0.0,10000.0,145084.06710185893,-74454.06710185893,38,125,20,37
52,221,4338744.838023947,0.4382685824633703,0.47147484920272853,0.3574660633484163,0.3755656108597285,0.2398753894080997,0.8842975206611571,1998.821374719266,11614.807351858937,39100.0,22320.0,630.0,1320.0,7,0.0,0.0,147736.53673776326,-86316.53673776326,38,126,20,37
53,222,4402370.693116651,0.44281606557217246,0.46569168167421493,0.36486486486486486,0.3783783783783784,0.3157894736842105,0.8849315068493151,1764.3429602602662,11628.145483815608,39200.0,25440.0,540.0,480.0,5,0.0,0.0,128265.85509270913,-63625.85509270913,39,126,20,37
54,222,4457475.4158625,0.44829261317543123,0.479323546603053,0.42342342342342343,0.42342342342342343,0.36419753086419754,0.8852459016393442,1706.7050641219382,11645.984586558145,39400.0,25290.0,270.0,1320.0,5,0.0,0.0,119794.72274585102,-55104.72274585102,40,126,19,37
55,223,4518754.501552231,0.450563305812137,0.48035402359881463,0.3901345291479821,0.39461883408071746,0.3079268292682927,0.8864864864864865,1889.2302435140055,11727.488002835544,39400.0,22770.0,0.0,1140.0,8,0.0,10000.0,133449.08568973004,-61279.08568973004,41,127,19,36
56,223,4578999.036422768,0.4532830177859428,0.4998236904788611,0.4125560538116592,0.3991031390134529,0.3293051359516616,0.8897849462365591,1875.5088278206126,11831.504818663321,39700.0,23490.0,360.0,1770.0,10,0.0,7674.832786243684,131109.36765678137,-60244.53487053768,42,127,18,36
57,223,4695886.453867208,0.4555655072265905,0.4482211858934244,0.2914798206278027,0.3183856502242152,0.1606060606060606,0.8847184986595175,2258.919251970127,12145.02346805828,39900.0,18780.0,1110.0,840.0,6,0.0,10000.0,185567.4174444407,-116887.41744444071,44,127,16,36
58,224,4806411.31735351,0.45876314895453785,0.45082714966363757,0.29464285714285715,0.3080357142857143,0.1782477341389728,0.8850267379679144,2042.8902582392839,12300.65985353007,39800.0,18930.0,0.0,1680.0,10,0.0,0.0,169254.86348629108,-110524.86348629108,45,127,16,36
59,225,4882591.148356597,0.46179428479119067,0.471456072420225,0.3511111111111111,0.37333333333333335,0.31212121212121213,0.88,1886.1341386101474,12360.330456396921,39900.0,21870.0,360.0,900.0,6,0.0,0.0,137949.83100309118,-76179.83100309118,45,127,16,37
60,225,5018244.787260849,0.4611932399673595,0.42521266933122126,0.25333333333333335,0.26666666666666666,0.10510510510510511,0.8809523809523809,2247.090192008868,12711.900683946807,40000.0,17220.0,630.0,540.0,4,0.0,10000.0,202873.63890425066,-135653.63890425066,45,128,15,37
61,225,5151768.5227792,0.46383991581672235,0.44007119159235275,0.28,0.3022222222222222,0.15868263473053892,0.8812664907651715,2134.761039607518,12966.7983819448,40200.0,18450.0,90.0,660.0,4,0.0,0.0,192173.7355183533,-133523.7355183533,45,128,15,37
62,227,5227020.546540383,0.46705902963549506,0.4796428192904634,0.3876651982378855,0.3920704845814978,0.3023952095808383,0.8789473684210526,1871.225359738277,12948.398453537138,40300.0,22380.0,210.0,900.0,6,0.0,0.0,137932.0237611839,-75252.0237611839,46,128,15,38
63,228,5322812.296323763,0.46931625770442786,0.441897547354954,0.3026315789473684,0.32456140350877194,0.24107142857142858,0.8795811518324608,1829.141870313851,13039.731757995218,40400.0,21390.0,870.0,1320.0,8,0.0,0.0,157581.7497833777,-95791.74978337769,46,129,15,38
64,227,5408941.05025212,0.46970511615171806,0.46343732554591033,0.3436123348017621,0.3744493392070485,0.2522255192878338,0.8891820580474934,2001.5271974404918,13314.167558027457,40600.0,21330.0,1170.0,630.0,4,0.0,10000.0,158058.75392836795,-86128.75392836795,46,129,14,38
65,229,5495400.707689603,0.47206256270263625,0.4702575475455417,0.34497816593886466,0.35807860262008734,0.27728613569321536,0.887434554973822,1924.8346013069142,13346.09706716684,40600.0,20910.0,270.0,1170.0,10,0.0,0.0,147969.65743748096,-86459.65743748096,46,130,14,39
66,230,5584639.530851976,0.4722700949141838,0.4692200559348918,0.33043478260869563,0.3695652173913043,0.24629080118694363,0.8821989528795812,1938.6510937122582,13495.218943721884,40900.0,20550.0,360.0,930.0,9,0.0,10000.0,160688.82316237173,-89238.82316237173,47,129,13,41
67,230,5628440.48224068,0.47517084334690507,0.4775801342339383,0.41739130434782606,0.40869565217391307,0.40828402366863903,0.8802083333333334,1531.7141671969307,13498.907689447826,40800.0,25710.0,180.0,1080.0,7,0.0,0.0,110310.95138870059,-43800.95138870059,46,130,13,41
68,230,5694852.644995794,0.476117807085475,0.4627885784582437,0.36086956521739133,0.3565217391304348,0.3192771084337349,0.8806366047745358,1703.5751811317355,13589.038075883433,41000.0,22620.0,390.0,1140.0,6,0.0,1918.6641537979667,131950.8269089063,-66412.16275510835,46,126,15,43
69,233,5775264.100328015,0.4780183912428382,0.4710948303258855,0.37339055793991416,0.36909871244635195,0.27492447129909364,0.8756613756613757,1886.2327929244002,13537.165949436787,41000.0,20700.0,810.0,2070.0,13,0.0,0.0,142111.4553322221,-80411.4553322221,47,127,15,44
70,233,5874060.572331386,0.47515686339615404,0.4523865859022185,0.3133047210300429,0.3133047210300429,0.17717717717717718,0.8763157894736842,2030.817018217935,13831.268762528869,41100.0,19470.0,510.0,960.0,6,0.0,20000.0,179366.4720033679,-98796.4720033679,48,128,13,44
71,235,5954904.132861081,0.4778630246841149,0.4850450549286325,0.39148936170212767,0.3574468085106383,0.30538922155688625,0.8743455497382199,1874.8816557792193,13823.392126420513,41100.0,23400.0,780.0,900.0,4,0.0,0.0,145343.56052969594,-80843.56052969594,48,129,13,45
72,236,6044951.681132496,0.47715482945827303,0.4470922789510148,0.3347457627118644,0.3474576271186441,0.22324159021406728,0.872,1925.2623133341315,13976.324865372359,41300.0,22350.0,960.0,360.0,3,0.0,10000.0,163697.5482714152,-90047.5482714152,49,127,15,45
73,237,6107961.459648926,0.4771238347165405,0.47895810732801203,0.4008438818565401,0.35864978902953587,0.3009118541033435,0.8726790450928382,1844.638901942973,14047.172980063198,41300.0,22290.0,690.0,1710.0,6,0.0,10000.0,136599.7785164329,-63009.77851643291,51,127,15,44
74,235,6188028.936684592,0.47270375267803555,0.450565710383084,0.2978723404255319,0.3021276595744681,0.2012012012012012,0.8740157480314961,2012.268062233471,14507.027581497563,41400.0,20070.0,780.0,1260.0,8,0.0,30000.0,171537.4770356663,-80067.47703566629,49,130,13,43
75,237,6326629.810672895,0.4740494534546855,0.4383181593871608,0.2911392405063291,0.2742616033755274,0.1253731343283582,0.8723958333333334,2190.88389169082,14656.815196687825,41500.0,19650.0,750.0,450.0,3,0.0,0.0,199750.87398830516,-138600.87398830516,51,129,13,44
76,238,6469898.83359162,0.47280383512665614,0.4381922865548049,0.29411764705882354,0.2689075630252101,0.0972644376899696,0.8680738786279684,2289.013742703857,14942.087623870932,41800.0,19020.0,1260.0,480.0,5,0.0,10000.0,214089.02291872643,-143269.02291872643,52,127,14,45
77,238,6600873.216101201,0.4744931280349194,0.44016226605925435,0.3025210084033613,0.28991596638655465,0.13855421686746988,0.8691099476439791,2101.6737899999725,15183.2163354369,41700.0,18000.0,600.0,1650.0,10,0.0,0.0,190674.382509583,-130974.382509583,51,128,14,45
78,238,6707643.691639548,0.4764037711819977,0.4417699156200139,0.31512605042016806,0.28991596638655465,0.18731117824773413,0.8664921465968587,1913.9413855600076,15340.59847297239,42000.0,19530.0,360.0,2130.0,12,0.0,0.0,168300.4755383481,-106770.47553834811,51,128,14,45
79,237,6824772.291194874,0.47621430625308814,0.42858399381185586,0.270042194092827,0.2911392405063291,0.12574850299401197,0.8675324675324675,2089.878946450825,15691.29399072446,42100.0,19770.0,630.0,540.0,4,0.0,8435.663253071369,187434.26280838886,-117128.59955531749,48,131,13,45
80,238,6948824.889877152,0.4784588012834723,0.44162346703284694,0.3025210084033613,0.28991596638655465,0.1566265060240964,0.8713910761154856,2076.5473384847382,15845.25087516313,42300.0,20340.0,90.0,360.0,3,0.0,0.0,186692.59868227763,-124052.59868227763,49,129,15,45
